"CustomerID","Recency","Frequency_1","Monetary","k4","k5","pe4","pe5","pm4","pm5"
"12747",2,11,381.46,4,5,1,1,1,1
"12748",0,206,150.72,1,3,1,1,1,2
"12749",3,5,808.18,4,5,2,2,1,1
"12820",3,4,235.59,4,5,3,3,2,3
"12821",214,1,92.72,2,2,4,4,3,4
"12822",70,2,474.44,4,5,2,2,4,5
"12823",74,5,351.9,4,5,3,3,4,5
"12824",59,1,397.12,4,5,2,3,4,5
"12826",2,7,210.67,4,5,3,3,1,1
"12827",5,3,143.38,4,5,3,3,2,3
"12828",2,6,169.78,4,5,3,3,2,1
"12829",336,2,146.5,2,2,4,5,3,4
"12830",37,6,1135.77,4,5,2,2,4,1
"12831",262,1,215.05,2,2,4,5,3,4
"12832",32,2,191.52,4,5,3,3,2,3
"12833",145,1,417.38,2,2,2,4,4,5
"12834",282,1,312.38,2,2,4,5,3,4
"12836",59,4,651.97,4,5,2,2,4,5
"12837",173,1,134.1,2,2,4,4,3,4
"12838",33,2,330.38,4,5,3,3,2,3
"12839",2,14,399.39,4,1,1,1,1,2
"12840",143,4,681.69,4,5,2,2,4,5
"12841",4,25,158.47,1,1,1,1,1,2
"12842",70,2,559.5,4,5,2,2,4,5
"12843",65,8,212.78,4,5,3,3,1,1
"12844",29,2,162.98,4,5,3,3,2,3
"12845",267,4,88.52,2,2,4,5,3,4
"12847",22,1,815.74,4,5,2,2,4,5
"12849",31,2,476.02,4,5,2,2,4,5
"12851",96,1,128.65,4,5,3,4,2,3
"12852",294,1,311.55,2,2,4,5,3,4
"12853",134,6,326.18,4,5,2,4,4,1
"12854",78,3,436,4,5,2,2,4,5
"12855",372,1,38.1,2,2,4,5,3,4
"12856",7,6,360.27,4,5,3,3,1,1
"12857",210,2,553.2,2,2,4,4,3,4
"12863",52,1,521.2,4,5,2,2,4,5
"12864",138,1,147.12,2,5,3,4,3,4
"12867",26,7,568.84,4,5,2,2,1,1
"12868",185,6,267.84,2,2,4,4,3,4
"12871",84,2,190.32,4,5,3,3,2,3
"12872",326,2,299.99,2,2,4,5,3,4
"12873",282,1,374,2,2,4,5,3,4
"12875",143,2,171.62,2,2,4,4,2,3
"12877",3,12,127.98,4,1,1,1,1,1
"12878",236,2,427.5,2,2,4,5,3,4
"12879",44,3,191.07,4,5,3,3,2,3
"12881",275,1,298,2,2,4,5,3,4
"12882",9,2,731.52,4,5,2,2,4,5
"12883",24,4,175.87,4,5,3,3,2,3
"12884",88,1,309.05,4,5,3,3,4,5
"12885",63,3,391.74,4,5,2,3,4,5
"12886",67,2,689.2,4,5,2,2,4,5
"12888",214,2,177.06,2,2,4,4,3,4
"12890",24,1,372.97,4,5,3,3,2,3
"12891",185,3,110.33,2,2,4,4,3,4
"12893",30,1,164.96,4,5,3,3,2,3
"12895",42,2,186.4,4,5,3,3,2,3
"12897",204,2,108.25,2,2,4,4,3,4
"12901",8,28,630.52,1,1,1,1,1,2
"12902",264,1,138.68,2,2,4,5,3,4
"12904",18,2,241.27,4,5,3,3,2,3
"12906",11,5,583.96,4,5,2,2,1,1
"12908",176,2,375,2,2,4,4,3,4
"12909",39,5,435.73,4,5,2,2,4,1
"12910",23,8,384.38,4,5,1,1,1,1
"12912",2,5,332.46,4,5,3,3,1,1
"12913",4,5,496.73,4,5,2,2,1,1
"12915",148,2,181.82,2,2,4,4,3,3
"12916",138,4,720.94,4,5,2,2,4,5
"12917",128,1,594,4,5,2,2,4,5
"12919",8,6,222.53,4,5,3,3,1,1
"12920",17,1,161.33,4,5,3,3,2,3
"12921",9,37,448.3,1,1,1,1,1,2
"12922",161,1,405.38,2,2,4,4,4,5
"12923",64,1,167.42,4,5,3,3,2,3
"12924",88,4,231.44,4,5,3,3,2,3
"12925",4,2,347.02,4,5,3,3,2,3
"12928",35,5,412.54,4,5,2,3,4,1
"12929",311,1,117.85,2,2,4,5,3,4
"12930",78,2,207.9,4,5,3,3,2,3
"12931",21,15,2803.73,3,4,2,2,1,2
"12933",24,3,202.51,4,5,3,3,2,3
"12935",2,7,308.67,4,5,3,3,1,1
"12936",17,4,265.98,4,5,3,3,2,1
"12937",15,4,376.07,4,5,3,3,1,1
"12938",25,1,114.14,4,5,3,3,2,3
"12939",64,8,1447.72,3,4,2,2,4,5
"12940",54,2,442.92,4,5,2,2,4,5
"12942",131,3,222.43,4,5,3,4,2,3
"12944",35,2,302.25,4,5,3,3,2,3
"12945",288,1,462.95,2,2,4,5,3,4
"12947",143,6,267.33,4,5,3,4,4,1
"12948",16,7,294.99,4,5,3,3,1,1
"12949",30,8,520.9,4,5,2,2,1,1
"12950",2,3,614.33,4,5,2,2,4,5
"12951",8,6,177.34,4,5,3,3,2,1
"12952",5,4,346.95,4,5,3,3,1,1
"12953",9,1,329.85,4,5,3,3,2,3
"12955",1,11,432.47,4,5,1,1,1,1
"12956",306,1,108.07,2,2,4,5,3,4
"12957",9,8,502.19,4,5,1,1,1,1
"12962",7,2,133.19,4,5,3,3,2,3
"12963",8,8,232.08,4,5,3,3,1,1
"12965",89,1,767.71,4,5,2,2,4,5
"12966",9,1,160.18,4,5,3,3,2,3
"12967",358,2,830.45,2,2,4,5,3,4
"12968",112,1,135.95,4,5,3,4,2,3
"12970",7,4,89.99,4,5,3,3,2,3
"12971",3,86,130.12,1,3,1,1,1,2
"12974",197,1,144.8,2,2,4,4,3,4
"12976",211,1,738.6,2,2,4,4,3,4
"12977",156,1,39.24,2,2,4,4,3,4
"12980",157,9,819.43,4,5,2,2,1,5
"12981",29,2,186.11,4,5,3,3,2,3
"12982",242,1,390.54,2,2,4,5,3,4
"12984",18,1,97.5,4,5,3,3,2,3
"12985",0,2,619.69,4,5,2,2,4,5
"12987",73,2,279.35,4,5,3,3,4,5
"12988",292,1,478.82,2,2,4,5,3,4
"12989",3,15,461.61,4,1,1,1,1,2
"12990",31,3,136.5,4,5,3,3,2,3
"12991",23,2,251.88,4,5,3,3,2,3
"12993",23,4,103.69,4,5,3,3,2,3
"12994",4,3,324.81,4,5,3,3,2,1
"12995",85,1,211.32,4,5,3,3,2,3
"12997",22,4,306.72,4,5,3,3,2,1
"12999",196,3,151.96,2,2,4,4,3,4
"13000",106,3,178.28,4,5,3,4,2,3
"13001",4,13,750.24,4,1,1,1,1,2
"13002",318,1,120.95,2,2,4,5,3,4
"13003",105,3,49.68,4,5,3,4,2,3
"13004",11,18,314.22,4,1,1,1,1,2
"13005",173,2,256.85,2,2,4,4,3,4
"13006",56,1,81.57,4,5,3,3,2,3
"13008",323,1,229.47,2,2,4,5,3,4
"13011",372,1,50.55,2,2,4,5,3,4
"13012",9,8,203.98,4,5,3,3,1,1
"13013",1,13,370.07,4,1,1,1,1,2
"13014",10,10,346.63,4,5,1,1,1,1
"13015",53,5,666.6,4,5,2,2,4,5
"13016",73,3,263.3,4,5,3,3,4,5
"13017",7,1,204,4,5,3,3,2,3
"13018",16,28,259.92,1,1,1,1,1,2
"13021",4,9,290.71,4,5,1,1,1,1
"13023",64,2,299.95,4,5,3,3,4,5
"13026",1,5,195.07,4,5,3,3,2,3
"13027",113,6,1152,4,5,2,2,4,5
"13028",22,2,330.66,4,5,3,3,2,3
"13029",30,3,415.83,4,5,2,3,4,5
"13030",11,2,352.7,4,5,3,3,2,3
"13032",52,2,505.09,4,5,2,2,4,5
"13033",357,1,190.55,2,2,4,5,3,4
"13034",54,2,321.38,4,5,3,3,4,5
"13035",73,2,460.94,4,5,2,2,4,5
"13037",138,3,293.69,4,5,3,4,4,5
"13038",80,3,302.82,4,5,3,3,4,5
"13040",8,2,338.5,4,5,3,3,2,3
"13043",273,1,516.42,2,2,4,5,3,4
"13044",291,1,560.47,2,2,4,5,3,4
"13045",99,1,305.28,4,5,3,4,4,5
"13046",30,2,304.65,4,5,3,3,2,3
"13047",56,9,359.18,4,5,1,1,1,1
"13048",14,4,450.73,4,5,2,2,4,1
"13049",64,2,328.34,4,5,3,3,4,5
"13050",14,17,343.12,4,1,1,1,1,2
"13052",212,1,348.15,2,2,4,4,3,4
"13055",78,3,404.8,4,5,2,2,4,5
"13058",24,3,90.47,4,5,3,3,2,3
"13059",249,1,183.4,2,2,4,5,3,4
"13060",253,1,307.53,2,2,4,5,3,4
"13061",72,1,248.61,4,5,3,3,2,3
"13062",191,1,346.98,2,2,4,4,3,4
"13064",12,4,272.92,4,5,3,3,2,1
"13065",373,1,205.86,2,2,4,5,3,4
"13066",24,2,235.4,4,5,3,3,2,3
"13067",82,1,115.46,4,5,3,3,2,3
"13068",10,2,172,4,5,3,3,2,3
"13069",0,24,184.45,1,1,1,1,1,2
"13070",192,1,228.8,2,2,4,4,3,4
"13072",266,1,177.15,2,2,4,5,3,4
"13075",129,1,919.61,4,5,2,2,4,5
"13077",1,4,181.69,4,5,3,3,2,3
"13078",3,26,485.69,1,1,1,1,1,2
"13079",4,5,44.02,4,5,3,3,2,3
"13080",179,1,58.08,2,2,4,4,3,4
"13081",11,11,2576.13,3,4,2,2,1,1
"13082",126,9,401.51,4,5,2,4,1,1
"13083",4,2,151.88,4,5,3,3,2,3
"13085",157,2,208.04,2,2,4,4,3,4
"13089",2,97,605.14,1,3,1,1,1,2
"13090",8,13,684.29,4,1,1,1,1,2
"13091",28,1,345.82,4,5,3,3,2,3
"13092",70,5,95.57,4,5,3,3,2,3
"13093",275,8,979.06,2,2,4,5,3,4
"13094",21,12,160.61,4,1,1,1,1,1
"13095",70,1,74.4,4,5,3,3,2,3
"13097",32,10,599.6,4,5,1,1,1,1
"13098",1,28,1031.52,1,1,1,1,1,2
"13099",99,1,207.36,4,5,3,4,2,3
"13101",234,1,101.19,2,2,4,5,3,4
"13102",1,24,267.67,1,1,1,1,1,2
"13103",39,1,243.94,4,5,3,3,2,3
"13104",3,6,183.08,4,5,3,3,2,1
"13106",133,1,76.5,4,5,3,4,2,3
"13107",44,4,382.91,4,5,3,3,4,5
"13108",372,1,350.06,2,2,4,5,3,4
"13109",59,2,393.27,4,5,2,3,4,5
"13110",31,7,212.67,4,5,3,3,2,1
"13113",0,24,510.25,1,1,1,1,1,2
"13115",11,4,573.7,4,5,2,2,4,1
"13116",138,1,501.14,4,5,2,4,4,5
"13117",21,8,123.11,4,5,3,3,1,1
"13118",19,5,239.56,4,5,3,3,2,1
"13120",238,1,30.6,2,2,4,5,3,4
"13121",269,1,283.73,2,2,4,5,3,4
"13122",94,2,461.19,4,5,2,2,4,5
"13124",89,3,1225.43,4,5,2,2,4,5
"13126",4,8,262.45,4,5,1,1,1,1
"13127",77,1,259.17,4,5,3,3,4,5
"13130",94,1,64,4,5,3,4,2,3
"13131",23,3,357.77,4,5,3,3,2,3
"13132",261,1,77.3,2,2,4,5,3,4
"13133",273,2,54.9,2,2,4,5,3,4
"13134",85,4,448.39,4,5,2,2,4,5
"13135",196,1,3096,3,4,2,2,3,4
"13136",56,5,521.52,4,5,2,2,4,5
"13137",10,8,444.52,4,5,1,1,1,1
"13138",22,6,160.4,4,5,3,3,2,1
"13139",16,7,723.56,4,5,2,2,1,1
"13140",108,3,140.41,4,5,3,4,2,3
"13141",84,5,477.75,4,5,2,2,4,5
"13142",19,1,307.09,4,5,3,3,2,3
"13144",332,1,110.95,2,2,4,5,3,4
"13145",39,4,154.63,4,5,3,3,2,3
"13146",26,1,228.91,4,5,3,3,2,3
"13147",10,4,178.2,4,5,3,3,2,3
"13148",29,12,304.95,4,1,1,1,1,1
"13149",14,4,419.01,4,5,2,3,4,1
"13151",295,1,1257.87,2,2,4,5,3,4
"13153",5,1,486.22,4,5,2,2,4,5
"13155",33,4,242.94,4,5,3,3,2,3
"13157",49,4,435.31,4,5,2,2,4,5
"13158",94,4,300.26,4,5,3,3,4,5
"13159",8,4,355.21,4,5,3,3,1,1
